Date,Open,High,Low,Close,Adj Close,Volume
4/1/2001,1160.329956,1169.51001,1137.51001,1145.869995,1145.869995,1254900000
5/1/2001,1249.459961,1266.469971,1243.550049,1266.439941,1266.439941,1181300000
6/1/2001,1255.819946,1265.339966,1246.880005,1260.670044,1260.670044,1015000000
7/1/2001,1224.420044,1239.780029,1224.030029,1236.719971,1236.719971,1128300000
8/1/2001,1211.22998,1223.040039,1211.22998,1215.930054,1215.930054,1340300000
9/1/2001,1133.579956,1155.400024,1129.060059,1132.939941,1132.939941,1178300000
10/1/2001,1040.939941,1040.939941,1026.76001,1038.550049,1038.550049,1175600000
11/1/2001,1059.780029,1085.609985,1054.310059,1084.099976,1084.099976,1317400000
12/1/2001,1139.449951,1139.449951,1125.780029,1129.900024,1129.900024,1202900000
1/1/2002,1148.079956,1154.670044,1136.22998,1154.670044,1154.670044,1171000000
2/1/2002,1130.199951,1130.199951,1118.51001,1122.199951,1122.199951,1367200000
3/1/2002,1106.72998,1131.790039,1106.72998,1131.780029,1131.780029,1456500000
4/1/2002,1147.390015,1147.839966,1132.869995,1146.540039,1146.540039,1050900000
5/1/2002,1076.920044,1088.319946,1065.290039,1086.459961,1086.459961,1451400000
6/1/2002,1067.140015,1070.73999,1039.900024,1040.680054,1040.680054,1324300000
7/1/2002,989.820007,994.460022,967.429993,968.650024,968.650024,1425500000
8/1/2002,911.619995,911.619995,882.47998,884.659973,884.659973,1672200000
9/1/2002,916.070007,916.070007,877.51001,878.02002,878.02002,1289800000
10/1/2002,815.280029,847.929993,812.820007,847.909973,847.909973,1780900000
11/1/2002,885.76001,903.419983,877.710022,900.960022,900.960022,1450400000
12/1/2002,936.309998,954.280029,927.719971,934.530029,934.530029,1612000000
1/1/2003,879.820007,909.030029,879.820007,909.030029,909.030029,1229200000
2/1/2003,855.700012,864.640015,855.700012,860.320007,860.320007,1258500000
3/1/2003,841.150024,852.340027,832.73999,834.809998,834.809998,1208900000
4/1/2003,848.179993,861.280029,847.849976,858.47998,858.47998,1461600000
5/1/2003,916.919983,919.679993,902.830017,916.299988,916.299988,1397500000
6/1/2003,963.590027,979.109985,963.590027,967,967,1662500000
7/1/2003,974.5,983.26001,962.099976,982.320007,982.320007,1460200000
8/1/2003,990.309998,990.309998,978.859985,980.150024,980.150024,1390600000
9/1/2003,1008.01001,1022.590027,1005.72998,1021.98999,1021.98999,1470500000
10/1/2003,995.969971,1018.219971,995.969971,1018.219971,1018.219971,1566300000
11/1/2003,1050.709961,1061.439941,1050.709961,1059.02002,1059.02002,1378200000
12/1/2003,1058.199951,1070.469971,1058.199951,1070.119995,1070.119995,1375000000
1/1/2004,1111.920044,1118.849976,1105.079956,1108.47998,1108.47998,1153200000
2/1/2004,1131.130005,1142.449951,1127.869995,1135.26001,1135.26001,1599200000
3/1/2004,1144.939941,1157.449951,1144.939941,1155.969971,1155.969971,1497100000
4/1/2004,1126.209961,1135.670044,1126.199951,1132.170044,1132.170044,1560700000
5/1/2004,1107.300049,1118.719971,1107.300049,1117.48999,1117.48999,1571600000
6/1/2004,1120.680054,1122.699951,1113.319946,1121.199951,1121.199951,1238000000
7/1/2004,1140.839966,1140.839966,1123.060059,1128.939941,1128.939941,1495700000
8/1/2004,1101.719971,1108.599976,1097.339966,1106.619995,1106.619995,1276000000
9/1/2004,1104.23999,1109.23999,1099.180054,1105.910034,1105.910034,1142100000
10/1/2004,1114.579956,1131.640015,1114.579956,1131.5,1131.5,1582200000
11/1/2004,1130.199951,1133.410034,1127.599976,1130.51001,1130.51001,1395900000
12/1/2004,1173.780029,1191.369995,1173.780029,1191.369995,1191.369995,1772800000
1/1/2005,1211.920044,1217.800049,1200.319946,1202.079956,1202.079956,1510800000
2/1/2005,1181.27002,1190.390015,1180.949951,1189.410034,1189.410034,1681980000
3/1/2005,1203.599976,1212.25,1203.599976,1210.410034,1210.410034,1708060000
4/1/2005,1180.589966,1189.800049,1169.910034,1172.920044,1172.920044,2168690000
5/1/2005,1156.849976,1162.869995,1154.709961,1162.160034,1162.160034,1980040000
6/1/2005,1191.5,1205.640015,1191.030029,1202.219971,1202.219971,1810100000
7/1/2005,1191.329956,1197.890015,1191.329956,1194.439941,1194.439941,1593820000
8/1/2005,1234.180054,1239.099976,1233.800049,1235.349976,1235.349976,1716870000
9/1/2005,1220.329956,1227.290039,1216.180054,1221.589966,1221.589966,2229860000
10/1/2005,1228.810059,1233.339966,1225.150024,1226.699951,1226.699951,2097490000
11/1/2005,1207.01001,1207.339966,1201.660034,1202.76001,1202.76001,2457850000
12/1/2005,1249.47998,1266.170044,1249.47998,1264.670044,1264.670044,2614830000
1/1/2006,1248.290039,1270.219971,1245.73999,1268.800049,1268.800049,2554570000
2/1/2006,1280.079956,1283.329956,1277.569946,1282.459961,1282.459961,2589410000
3/1/2006,1280.660034,1291.800049,1280.660034,1291.23999,1291.23999,2308320000
4/1/2006,1302.880005,1309.189941,1296.650024,1297.810059,1297.810059,2494080000
5/1/2006,1310.609985,1317.209961,1303.459961,1305.189941,1305.189941,2437040000
6/1/2006,1270.050049,1285.709961,1269.189941,1285.709961,1285.709961,2360160000
7/1/2006,1270.060059,1280.380005,1270.060059,1280.189941,1280.189941,1114470000
8/1/2006,1278.530029,1278.660034,1265.709961,1270.920044,1270.920044,2527690000
